Algorithm,I,J,K,avg_time_seconds
matmul_ijk,256,256,256,0.0393196
matmul_ikj,256,256,256,0.0162632
matmul_AT,256,256,256,0.0474285
matmul_BT,256,256,256,0.0143473
matmul_ijk,256,512,256,0.0718495
matmul_ikj,256,512,256,0.026771
matmul_AT,256,512,256,0.0912086
matmul_BT,256,512,256,0.0285651
matmul_ijk,256,1024,256,0.149397
matmul_ikj,256,1024,256,0.0565762
matmul_AT,256,1024,256,0.190341
matmul_BT,256,1024,256,0.0585672
matmul_ijk,256,256,512,0.0716003
matmul_ikj,256,256,512,0.0299595
matmul_AT,256,256,512,0.0926007
matmul_BT,256,256,512,0.027431
matmul_ijk,256,512,512,0.156152
matmul_ikj,256,512,512,0.0548252
matmul_AT,256,512,512,0.240522
matmul_BT,256,512,512,0.0724943
matmul_ijk,256,1024,512,0.323257
matmul_ikj,256,1024,512,0.172391
matmul_AT,256,1024,512,0.495567
matmul_BT,256,1024,512,0.121534
matmul_ijk,256,256,1024,0.17067
matmul_ikj,256,256,1024,0.068368
matmul_AT,256,256,1024,0.225491
matmul_BT,256,256,1024,0.0720411
matmul_ijk,256,512,1024,0.371099
matmul_ikj,256,512,1024,0.123097
matmul_AT,256,512,1024,0.40461
matmul_BT,256,512,1024,0.150047
matmul_ijk,256,1024,1024,0.757536
matmul_ikj,256,1024,1024,0.23188
matmul_AT,256,1024,1024,0.814652
matmul_BT,256,1024,1024,0.228096
matmul_ijk,512,256,256,0.0768365
matmul_ikj,512,256,256,0.0313264
matmul_AT,512,256,256,0.0898561
matmul_BT,512,256,256,0.0304483
matmul_ijk,512,512,256,0.149916
matmul_ikj,512,512,256,0.058289
matmul_AT,512,512,256,0.185444
matmul_BT,512,512,256,0.0601634
matmul_ijk,512,1024,256,0.301693
matmul_ikj,512,1024,256,0.113417
matmul_AT,512,1024,256,0.379328
matmul_BT,512,1024,256,0.111775
matmul_ijk,512,256,512,0.147197
matmul_ikj,512,256,512,0.0573025
matmul_AT,512,256,512,0.189066
matmul_BT,512,256,512,0.0567598
matmul_ijk,512,512,512,0.303563
matmul_ikj,512,512,512,0.114815
matmul_AT,512,512,512,0.373731
matmul_BT,512,512,512,0.115826
matmul_ijk,512,1024,512,0.634014
matmul_ikj,512,1024,512,0.222558
matmul_AT,512,1024,512,0.784722
matmul_BT,512,1024,512,0.229778
matmul_ijk,512,256,1024,0.299543
matmul_ikj,512,256,1024,0.113731
matmul_AT,512,256,1024,0.365965
matmul_BT,512,256,1024,0.114775
matmul_ijk,512,512,1024,0.62071
matmul_ikj,512,512,1024,0.259512
matmul_AT,512,512,1024,0.813239
matmul_BT,512,512,1024,0.234449
matmul_ijk,512,1024,1024,1.49245
matmul_ikj,512,1024,1024,0.555109
matmul_AT,512,1024,1024,2.25192
matmul_BT,512,1024,1024,0.467826
matmul_ijk,1024,256,256,0.182102
matmul_ikj,1024,256,256,0.101502
matmul_AT,1024,256,256,0.230577
matmul_BT,1024,256,256,0.0886363
matmul_ijk,1024,512,256,0.40655
matmul_ikj,1024,512,256,0.134017
matmul_AT,1024,512,256,0.407316
matmul_BT,1024,512,256,0.140083
matmul_ijk,1024,1024,256,0.615784
matmul_ikj,1024,1024,256,0.224594
matmul_AT,1024,1024,256,0.8798
matmul_BT,1024,1024,256,0.254087
matmul_ijk,1024,256,512,0.30916
matmul_ikj,1024,256,512,0.126913
matmul_AT,1024,256,512,0.396833
matmul_BT,1024,256,512,0.12672
matmul_ijk,1024,512,512,0.632234
matmul_ikj,1024,512,512,0.253901
matmul_AT,1024,512,512,0.803806
matmul_BT,1024,512,512,0.239783
matmul_ijk,1024,1024,512,1.28438
matmul_ikj,1024,1024,512,0.459709
matmul_AT,1024,1024,512,1.58033
matmul_BT,1024,1024,512,0.48821
matmul_ijk,1024,256,1024,0.629028
matmul_ikj,1024,256,1024,0.25531
matmul_AT,1024,256,1024,0.821863
matmul_BT,1024,256,1024,0.246284
matmul_ijk,1024,512,1024,1.32856
matmul_ikj,1024,512,1024,0.498655
matmul_AT,1024,512,1024,1.64949
matmul_BT,1024,512,1024,0.456536
matmul_ijk,1024,1024,1024,2.61475
matmul_ikj,1024,1024,1024,0.981076
matmul_AT,1024,1024,1024,3.09094
matmul_BT,1024,1024,1024,0.891964
